Object,Band,mag_5kpc,e_5kpc,magerr_5kpc,zerr_5kpc,npix_5kpc,mag_10kpc,e_10kpc,magerr_10kpc,zerr_10kpc,npix_10kpc,mag_15kpc,e_15kpc,magerr_15kpc,zerr_15kpc,npix_15kpc,mag_30kpc,e_30kpc,magerr_30kpc,zerr_30kpc,npix_30kpc
SN2017gip,NUV,20.587288905798626,0.23621040362555915,0.23621040362555915,0.0,69,19.690192004598863,0.3235867532021023,0.3058944528125294,0.10553184631380928,258,19.448629449631383,0.608704125718511,0.6086476668740227,0.008290372461204709,564,18.468379065538606,1.1323741877462399,1.1321920678448008,0.02030819005402562,2228
SN2017ffm,FUV,18.282966155008722,0.3409586459896034,0.32524699246564953,0.10230929658204771,103,17.175559191305467,1.0290259591949502,1.025722883591885,0.08238319472462496,387,16.500482672572748,1.5018576611776289,1.4997168238879262,0.0801616029371211,855,15.986568254157538,1.9292606361828055,1.9292270044770157,0.011391554815929853,3362
SN2017ffm,NUV,17.810950300190544,1.115430309618095,1.1121955500784622,0.08488718395839531,103,16.839192716916493,1.6327263324484864,1.631601138897841,0.06060528209614629,387,16.285506959241115,1.9952172452334922,1.9941296991121615,0.06586804077825587,855,15.667407524305005,2.420148003285553,2.420094066520922,0.01615756780197951,3362
SN2017ghw,FUV,24.44655969509839,2.4301233903668313,2.4301233903668313,0.0,15,22.96647493229456,1.6465223374343476,1.6465223374343476,0.0,46,21.939465336620763,1.0843113062422178,1.0843113062422178,0.0,105,20.670920587068355,0.3882168402910964,0.38602938436338613,0.041153730008684816,395
SN2017ghw,NUV,23.76262629054782,1.5655084238615506,1.5655084238615506,0.0,15,22.79771577326254,1.033130850116747,1.033130850116747,0.0,46,21.296804760093046,0.32050375561050004,0.32050375561050004,0.0,105,20.098256341670506,0.3189173629672236,0.31738575657233214,0.03121803848700569,395
SN2008cc,NUV,19.19042138432757,0.6174567787128477,0.6172221714708352,0.01701953651758447,507,18.041900764008016,1.2851380864072417,1.2850442998551825,0.015525738120002736,1974,17.675599390560286,1.5828485944504025,1.582810019978549,0.011050502663653148,4403,16.988456042042202,2.1842945551403536,2.1842766369438786,0.008847424310806604,17495
SN2006bh,NUV,18.388798987821932,0.8720619106090853,0.854995455171028,0.17168211197458783,552,17.157266809535678,1.5030083075334808,1.4975707584778748,0.1277332997564111,2148,16.5539540167958,1.8481776477704774,1.8438991996552534,0.12568356785646784,4805,15.308798979646507,2.5939829224810116,2.5925855338290464,0.08513314221551899,19080
LSQ12gxj,FUV,21.33354394256411,1.185934831194828,1.1847104876755576,0.05387470865487308,52,20.805200202939353,0.5981720395011795,0.5981617119336371,0.003514998950377009,192,20.538399850131974,0.3003374145647176,0.29521229201866533,0.05524730969472889,424,19.905923893587936,0.24896918510631164,0.24843773148972814,0.01625880391475973,1649
LSQ12gxj,NUV,21.078415229249213,0.41840278704600103,0.4177294933630707,0.023726832542367786,52,20.52926272096494,0.1178955285550927,0.11788512199315584,0.0015664181891950491,192,20.19076801409662,0.42937893621702533,0.4257717083865242,0.05554028451930126,424,19.52267702759945,1.0219579722172385,1.0217744489778409,0.019366785856193783,1649
LSQ12gpw,FUV,nan,nan,nan,0.04344500257396281,27,nan,1.3806295296169753,1.3789174397657977,0.06873567021661889,99,nan,0.9199084449079138,0.9198341597120431,0.01169040802264568,217,27.378201835792193,4.244880997087129,0.15732932718891568,4.241964422556806,831
LSQ12gpw,NUV,25.902566434448154,2.0431045280602294,2.0429905608244616,0.021579642313130927,27,23.69305668699459,1.2811333921037626,1.28049892908474,0.040314525622007644,99,23.15587156331063,0.848481906598904,0.847941179541556,0.030286991652950023,217,22.04468805774107,0.11697231938265137,0.06342698418966572,0.09828296484315527,831
LSQ11ot,NUV,21.989671950088937,0.5102976023712236,0.5023556881151646,0.08967946032486375,82,21.018907271166707,0.1510249217865327,0.14885293918166595,0.025521157842221406,311,20.29765426094734,0.575574834205835,0.5754338807300544,0.012737294807922501,682,19.135319070504877,1.2642647535835687,1.264264517455754,0.0007726940473308137,2682
ASASSN-15as,FUV,23.843371920418196,1.6293864287504332,1.6239573475074554,0.13290096941949242,74,22.305678912972837,0.9367830103102048,0.9362032985629605,0.03295136060440594,285,22.151752072098677,0.5106704319138227,0.5095641704304971,0.03359533069534319,628,22.87128104984569,0.1577964013789809,0.156422026740917,0.02078109329222831,2467
ASASSN-15as,NUV,22.96508623637674,0.967768558493759,0.9677617908365165,0.0036192548938596574,74,22.03708489760782,0.3460122500260411,0.3443704658986748,0.03366688855260014,285,21.572252960298812,0.03665797785443212,0.03529884578844916,0.009889328914507799,628,18.289788168802108,1.368068643082898,1.3680659021465198,0.002738534409262405,2467
LSQ14ip,FUV,25.215237029879034,2.5221502719213644,2.5221502719213644,0.0,20,25.888787821432096,1.8624466410011478,1.8624466410011478,0.0,71,24.611661928312856,1.4178674905830762,1.412280295490279,0.12574811259911803,153,21.446217654714275,0.5114319720701722,0.511424537918092,0.0027575479780938567,583
LSQ14ip,NUV,24.57962387783329,1.7896820569527305,1.7896820569527305,0.0,20,23.89567370694785,1.13656241755792,1.13656241755792,0.0,71,23.352240439133304,0.7409847052568248,0.7402168647421405,0.03372427279956117,153,20.672709558125167,0.20403547772911343,0.2040103317061316,0.003203237315858335,583
LSQ14wp,FUV,25.185597243976403,2.932255174324181,2.93192640794232,0.043908379170469275,16,23.963165858290267,2.016827791319578,2.0154668856379625,0.07407815289151091,57,24.452649763315733,1.7329813975748325,1.729076288995518,0.11627429283340046,122,23.345438000766173,1.0696949015012334,1.069664514792413,0.008062759555179582,463
LSQ14wp,NUV,27.50925959025482,2.591792959970664,2.242176860034059,1.3000129521205954,16,23.90230156690499,1.3961826231775132,1.3956529118441345,0.038456038847365814,57,23.756075400233073,1.1117737248295376,1.111265564188772,0.03361043096353776,122,22.13219030865721,0.38001878079330603,0.38001232645955707,0.0022148350786874997,463
LSQ13ry,FUV,22.04653200388867,1.3434974362493037,1.3430308223070662,0.03540581225812767,71,20.842476034439965,0.6583979622464032,0.6554457732073522,0.062279331040341446,262,20.59176801280657,0.4215200571622536,0.4212250029458079,0.015768813632409742,571,20.628848054633533,0.03706931439226602,0.03631813903574244,0.007424745550733819,2243
LSQ13ry,NUV,21.331673182878724,0.5900293350235042,0.5894114761807759,0.02699496128311887,71,20.141211082898444,0.13284588493856622,0.12126470077104297,0.054248516035189265,262,19.904966708846455,0.36418854590065236,0.3640239445622481,0.010948276146173322,571,19.406373522649446,0.8001314020759068,0.8001178624587342,0.004654756967085613,2243
LSQ13lq,FUV,25.68978701823915,1.97562764291792,1.97562764291792,0.0,15,24.361204863145264,1.4282098967521082,1.4272759365634682,0.05164213480814776,48,23.124537411165758,0.9899563737804695,0.9899563737804695,0.0,105,22.70643761222999,0.3033202824450813,0.30311167831843616,0.011247409014736828,399
LSQ13lq,NUV,24.849693497904184,2.165286467472793,2.165286467472793,0.0,15,23.475285039734626,1.5079188960598147,1.507180132202777,0.04719582807272347,48,22.732377876359703,1.0555991802613442,1.0555991802613442,0.0,105,21.809689253027944,0.3522141123886529,0.35219632115645744,0.0035401030471034814,399
LSQ12cda,NUV,nan,2.831186273342636,2.831186273342636,0.0,4,nan,2.5036981281425645,2.5036981281425645,0.0,18,25.479465430188277,1.794549489951891,1.794549489951891,0.0,37,24.42146275564431,1.0947336500089184,1.0947336500089184,0.0,144
SN2017jbj,FUV,20.085149635505086,0.5543320909491491,0.5540309297145973,0.018270084171528103,297,19.439822899743955,0.0453049319821638,0.03876507869786347,0.023447932434586642,1171,19.137888223562467,0.2861713952075398,0.28557601453143494,0.018450131689817004,2616,18.35600236629084,0.9175225770659228,0.9171861466416904,0.02484455341236462,10373
